index,path,bank,size,census_blob_sha1,actual_blob_sha1,blob_match,status,detail,elapsed_ms,engine_commit,sample_rate
83,resources/data/patches_3rdparty/Altenberg/Drums/Kick 1.fxp,contributor,35709,b86f7ad8ba39ba605ec96cb57e43fe227437cefa,b86f7ad8ba39ba605ec96cb57e43fe227437cefa,True,ok,,4,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
84,resources/data/patches_3rdparty/Altenberg/Drums/Kick 2.fxp,contributor,33925,da34d3e53c64d9831788da036b2eb635f5dc17bd,da34d3e53c64d9831788da036b2eb635f5dc17bd,True,ok,,2,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
85,resources/data/patches_3rdparty/Altenberg/Drums/Kick 3.fxp,contributor,31365,54a7968b21999b6ffb1c00990a1294c29ca4af1c,54a7968b21999b6ffb1c00990a1294c29ca4af1c,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
86,resources/data/patches_3rdparty/Altenberg/Drums/Kick 4.fxp,contributor,33838,11a72689c3a39dfe584bd177368554b6e16f2bc6,11a72689c3a39dfe584bd177368554b6e16f2bc6,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
87,resources/data/patches_3rdparty/Altenberg/Drums/Kick Lo-Fi.fxp,contributor,32666,11388bb8827de1d16897f576aa4ac6501ef94458,11388bb8827de1d16897f576aa4ac6501ef94458,True,ok,,4,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
88,resources/data/patches_3rdparty/Altenberg/Drums/Linn Kick Tape.fxp,contributor,31875,f282ac93417313f9bf44232c5cf7ad432157847e,f282ac93417313f9bf44232c5cf7ad432157847e,True,ok,,2,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
89,resources/data/patches_3rdparty/Altenberg/Drums/Snare 1.fxp,contributor,28522,664ddc46620254a7b1005d2d19de10343c06745a,664ddc46620254a7b1005d2d19de10343c06745a,True,ok,,2,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
90,resources/data/patches_3rdparty/Altenberg/Drums/Snare 2.fxp,contributor,28792,dc0f2554b78273b032c3f0dbe2c3904b25fa65a2,dc0f2554b78273b032c3f0dbe2c3904b25fa65a2,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
91,resources/data/patches_3rdparty/Altenberg/FX/Ritual.fxp,contributor,34545,c5635ee68b51831a164c4773b4291746edc831e8,c5635ee68b51831a164c4773b4291746edc831e8,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
92,resources/data/patches_3rdparty/Altenberg/FX/Shore.fxp,contributor,27507,e0c8107755b359c69527aa22508ea7762991ac3d,e0c8107755b359c69527aa22508ea7762991ac3d,True,ok,,2,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
93,resources/data/patches_3rdparty/Altenberg/FX/Swoosh.fxp,contributor,30933,97fa3e31913cb8490b638a67cf677be583d97393,97fa3e31913cb8490b638a67cf677be583d97393,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
